100 0
3100 0.05
6100 0.26
9100 0.62
12100 1.12
15100 1.75
18100 2.53
21100 3.43
24100 4.55
27100 5.77
30100 7.15
33100 8.68
36100 10.35
39100 12.16
42100 14.1
45100 16.14
48100 18.46
51100 20.94
54100 23.39
57100 25.99
60100 28.76
63100 31.7
